Modified;File
M;arch/arm/include/asm/gpio.h
M;arch/arm/include/asm/hardirq.h
D;arch/arm/plat-orion/include/plat/cache-feroceon-l2.h
A;arch/arm/include/asm/hardware/cache-feroceon-l2.h
M;arch/arm/include/asm/hardware/cache-l2x0.h
M;arch/arm/include/asm/hardware/coresight.h
M;arch/arm/include/asm/hardware/iop3xx-adma.h
D;arch/arm/include/asm/hardware/iop3xx-gpio.h
M;arch/arm/include/asm/hardware/iop3xx.h
M;arch/arm/include/asm/hardware/iop_adma.h
M;arch/arm/include/asm/highmem.h
M;arch/arm/include/asm/hw_breakpoint.h
M;arch/arm/include/asm/hwcap.h
M;arch/arm/include/asm/io.h
A;arch/arm/include/asm/irq_work.h
M;arch/arm/include/asm/jump_label.h
M;arch/arm/include/asm/kgdb.h
M;arch/arm/include/asm/kprobes.h
M;arch/arm/include/asm/kvm_arm.h
M;arch/arm/include/asm/kvm_asm.h
M;arch/arm/include/asm/kvm_emulate.h
M;arch/arm/include/asm/kvm_host.h
M;arch/arm/include/asm/kvm_mmu.h
M;arch/arm/include/asm/kvm_psci.h
M;arch/arm/include/asm/mach/arch.h
M;arch/arm/include/asm/mach/map.h
M;arch/arm/include/asm/mach/pci.h
M;arch/arm/include/asm/mcpm.h
A;arch/arm/include/asm/mcs_spinlock.h
M;arch/arm/include/asm/memblock.h
M;arch/arm/include/asm/memory.h
M;arch/arm/include/asm/mmu.h
M;arch/arm/include/asm/outercache.h
M;arch/arm/include/asm/pci.h
M;arch/arm/include/asm/perf_event.h
M;arch/arm/include/asm/pgalloc.h
M;arch/arm/include/asm/pgtable-2level.h
M;arch/arm/include/asm/pgtable-3level-hwdef.h
M;arch/arm/include/asm/pgtable-3level.h
M;arch/arm/include/asm/pgtable.h
M;arch/arm/include/asm/pmu.h
A;arch/arm/include/asm/probes.h
M;arch/arm/include/asm/processor.h
M;arch/arm/include/asm/prom.h
M;arch/arm/include/asm/psci.h
M;arch/arm/include/asm/ptrace.h
D;arch/arm/include/asm/scatterlist.h
D;arch/arm/include/asm/sched_clock.h
M;arch/arm/include/asm/setup.h
M;arch/arm/include/asm/smp.h
M;arch/arm/include/asm/smp_plat.h
M;arch/arm/include/asm/smp_scu.h
M;arch/arm/include/asm/spinlock.h
M;arch/arm/include/asm/spinlock_types.h
M;arch/arm/include/asm/stacktrace.h
M;arch/arm/include/asm/sync_bitops.h
M;arch/arm/include/asm/syscall.h
D;arch/arm/include/asm/system.h
M;arch/arm/include/asm/thread_info.h
M;arch/arm/include/asm/timex.h
M;arch/arm/include/asm/tlb.h
M;arch/arm/include/asm/tlbflush.h
